состояние взаимных расчетов по данным учета следующее;mutual transactions according to the data accounting are the following
составили настоящий акт сверки;have completed this reconciliation statement
Реализация (акты, накладные, УПД);Realization (acts, invoices, UPD)
Передача на расчетный счет;Transfer to the current account
Обороты по договору;Turnover as per the agreement
Акт сверки;Reconciliation Statement
Обороты за период;Turnover for the period
Поступление на расчетный счет;Current account credit
Директор по экономике;Director for Economy
взаимных расчетов;of mutual payments
Агентский договор;Agent's agreement
с другой стороны;on the other side
нижеподписавшиеся;the undersigned
с одной стороны;on the one side
ИНН;Taxpayer's ID
вознаграждение;remuneration
Операция;Transaction
Сальдо конечное;Balance c/f
Сальдо начальное;Balance b/f
и финансам;and Finance
1 квартал;1st quarter
2 квартал;2nd quarter
3 квартал;3rd quarter
4 квартал;4th quarter
Реализация;Realization
период;the period
М.П.;Seal here
Документ;Document
в том, что;that the
накладные;invoices
между;between
Счет-фактура;Invoice
Кредит;Credit
По данным;As per
 задолженность;a debt
Дебет;Debit
на;as of
Счет;Order
испр;rev
Дата;Date
акты;acts
ЕВРО;EUR
руб;RUB
рублей;RUB
и;and
за;for
УПД;UPD
Мы;We
от;dd
в пользу;to
г.;
Корректировка реализации;Realization adjustment
